# Nafis - Task 1: Defensive Work Rate by Tournament Stage (FIFA World Cup 2026, HIT140 group project)
# Source: Sofascore (api.sofascore.com), FIFA World Cup 2026 tournament id 16 / season id 58210. Population = all outfield players (excludes goalkeepers) with >=180 total minutes played across the tournament (n=484). tournament_stage: "Advanced to Knockout" = team reached the Round of 32; "Eliminated in Group Stage" = team did not.
player,team,position,minutes_played,tackles,interceptions,defensive_actions,defensive_actions_per90,tournament_stage
Noni Madueke,England,F,288,5,2,7,2.188,Advanced to Knockout
Nabil Bentaleb,Algeria,M,288,8,4,12,3.750,Advanced to Knockout
Miguel Almirón,Paraguay,M,288,8,3,11,3.438,Advanced to Knockout
Sidny Lopes Cabral,Cabo Verde,D,286,5,3,8,2.517,Advanced to Knockout
Rayan Aït-Nouri,Algeria,D,284,16,5,21,6.655,Advanced to Knockout
Nathaniel Brown,Germany,D,283,13,2,15,4.770,Advanced to Knockout
Ferran Torres,Spain,F,283,0,0,0,0.000,Advanced to Knockout
Jamiro Monteiro,Cabo Verde,M,283,7,4,11,3.498,Advanced to Knockout
Ritsu Doan,Japan,M,282,4,1,5,1.596,Advanced to Knockout
Marvin Senaya,Ghana,D,280,20,5,25,8.036,Advanced to Knockout
Odilon Kossounou,Côte d'Ivoire,D,280,5,3,8,2.571,Advanced to Knockout
David Alaba,Austria,D,278,2,4,6,1.942,Advanced to Knockout
Guéla Doué,Côte d'Ivoire,D,277,6,3,9,2.924,Advanced to Knockout
Kerim Alajbegović,Bosnia & Herzegovina,M,277,0,2,2,0.650,Advanced to Knockout
Aleksandar Pavlović,Germany,M,274,3,2,5,1.642,Advanced to Knockout
Felix Nmecha,Germany,M,272,13,3,16,5.294,Advanced to Knockout
Caleb Yirenkyi,Ghana,M,272,2,3,5,1.654,Advanced to Knockout
Jamal Musiala,Germany,M,271,7,1,8,2.657,Advanced to Knockout
Mateo Kovačić,Croatia,M,271,5,2,7,2.325,Advanced to Knockout
Lewis Ferguson,Scotland,M,270,12,4,16,5.333,Eliminated in Group Stage
Arda Güler,Türkiye,M,270,4,2,6,2.000,Eliminated in Group Stage
Ramin Rezaeian,Iran,D,270,6,2,8,2.667,Eliminated in Group Stage
Kang-in Lee,South Korea,M,270,2,0,2,0.667,Eliminated in Group Stage
Kaishu Sano,Japan,M,270,3,4,7,2.333,Advanced to Knockout
Jerome Opoku,Ghana,D,270,3,1,4,1.333,Advanced to Knockout
Gi-Hyuk Lee,South Korea,D,270,4,5,9,3.000,Eliminated in Group Stage
Teboho Mokoena,South Africa,M,270,4,5,9,3.000,Advanced to Knockout
Shoja Khalilzadeh,Iran,D,270,6,3,9,3.000,Eliminated in Group Stage
Hannibal Mejbri,Tunisia,M,270,7,1,8,2.667,Eliminated in Group Stage
Andrés Andrade,Panama,D,270,7,3,10,3.333,Eliminated in Group Stage
Mathías Olivera,Uruguay,D,270,8,2,10,3.333,Eliminated in Group Stage
Jack Hendry,Scotland,D,270,2,0,2,0.667,Eliminated in Group Stage
Rodrigo Bentancur,Uruguay,M,270,6,7,13,4.333,Eliminated in Group Stage
Amir Murillo,Panama,D,270,7,1,8,2.667,Eliminated in Group Stage
Emmanuel Agbadou,Côte d'Ivoire,D,270,8,4,12,4.000,Advanced to Knockout
Ladislav Krejčí,Czechia,D,270,8,1,9,3.000,Eliminated in Group Stage
Thomas Partey,Ghana,M,270,4,6,10,3.333,Advanced to Knockout
Finn Surman,New Zealand,D,270,3,3,6,2.000,Eliminated in Group Stage
Ali Nemati,Iran,D,270,3,0,3,1.000,Eliminated in Group Stage
Han-Beom Lee,South Korea,D,270,4,2,6,2.000,Eliminated in Group Stage
Issa Laye,Qatar,D,270,3,1,4,1.333,Eliminated in Group Stage
Pedro Miguel,Qatar,D,270,6,3,9,3.000,Eliminated in Group Stage
Vladimír Coufal,Czechia,D,270,1,2,3,1.000,Eliminated in Group Stage
Noor Al-Rawabdeh,Jordan,M,270,11,2,13,4.333,Eliminated in Group Stage
Leandro Bacuna,Curaçao,M,270,6,0,6,2.000,Eliminated in Group Stage
José Córdoba,Panama,D,270,4,1,5,1.667,Eliminated in Group Stage
Ricardo Adé,Haiti,D,270,5,5,10,3.333,Eliminated in Group Stage
Sherel Constancio Floranus,Curaçao,D,270,9,4,13,4.333,Eliminated in Group Stage
Marin Pongračić,Croatia,D,270,5,1,6,2.000,Advanced to Knockout
Chris Wood,New Zealand,F,270,1,0,1,0.333,Eliminated in Group Stage
Sebastián Cáceres,Uruguay,D,270,1,2,3,1.000,Eliminated in Group Stage
Scott McTominay,Scotland,M,270,2,0,2,0.667,Eliminated in Group Stage
Boualem Khoukhi,Qatar,D,270,5,3,8,2.667,Eliminated in Group Stage
Guillermo Varela,Uruguay,D,270,2,7,9,3.000,Eliminated in Group Stage
Amar Dedić,Bosnia & Herzegovina,D,270,9,1,10,3.333,Advanced to Knockout
Armando Obispo,Curaçao,D,270,3,7,10,3.333,Eliminated in Group Stage
Merchas Doski,Iraq,D,270,13,5,18,6.000,Eliminated in Group Stage
Hannes Delcroix,Haiti,D,270,5,5,10,3.333,Eliminated in Group Stage
Robin Hranáč,Czechia,D,270,1,1,2,0.667,Eliminated in Group Stage
Montassar Talbi,Tunisia,D,270,3,5,8,2.667,Eliminated in Group Stage
Martin Expérience,Haiti,D,270,10,4,14,4.667,Eliminated in Group Stage
Akam Hashem,Iraq,D,270,2,2,4,1.333,Eliminated in Group Stage
Abdukodir Khusanov,Uzbekistan,D,270,5,5,10,3.333,Eliminated in Group Stage
Yazan Al-Arab,Jordan,D,270,5,11,16,5.333,Eliminated in Group Stage
Marko Stamenić,New Zealand,M,269,2,4,6,2.007,Eliminated in Group Stage
Ghislain Konan,Côte d'Ivoire,D,269,3,0,3,1.004,Advanced to Knockout
Eldor Shomurodov,Uzbekistan,F,269,6,0,6,2.007,Eliminated in Group Stage
Saud Abdulhamid,Saudi Arabia,M,269,11,2,13,4.349,Eliminated in Group Stage
Ali Abdi,Tunisia,D,269,9,4,13,4.349,Eliminated in Group Stage
Ibrahim Sangaré,Côte d'Ivoire,M,268,13,6,19,6.381,Advanced to Knockout
Luis Romo,Mexico,D,268,6,4,10,3.358,Advanced to Knockout
Ali Olwan,Jordan,F,268,2,1,3,1.007,Eliminated in Group Stage
Ahmed Fatouh,Egypt,D,268,6,3,9,3.022,Advanced to Knockout
Carlos Harvey,Panama,M,268,6,1,7,2.351,Eliminated in Group Stage
Abdülkerim Bardakcı,Türkiye,D,266,8,2,10,3.383,Eliminated in Group Stage
Romano Schmid,Austria,M,266,5,0,5,1.692,Advanced to Knockout
Micky van de Ven,Netherlands,D,266,4,2,6,2.030,Advanced to Knockout
Elijah Just,New Zealand,M,265,6,2,8,2.717,Eliminated in Group Stage
Saeid Ezatolahi,Iran,M,265,6,7,13,4.415,Eliminated in Group Stage
Mohannad Abu Taha,Jordan,M,265,9,7,16,5.434,Eliminated in Group Stage
Hwang In-beom,South Korea,M,264,3,4,7,2.386,Eliminated in Group Stage
Deroy Duarte,Cabo Verde,M,264,8,6,14,4.773,Advanced to Knockout
Nestory Irankunda,Australia,F,264,0,1,1,0.341,Advanced to Knockout
Riyad Mahrez,Algeria,M,263,4,1,5,1.711,Advanced to Knockout
Antonio Rüdiger,Germany,D,262,2,0,2,0.687,Advanced to Knockout
John McGinn,Scotland,M,261,0,0,0,0.000,Eliminated in Group Stage
Jean-Ricner Bellegarde,Haiti,M,261,2,3,5,1.724,Eliminated in Group Stage
Ehsan Haddad,Jordan,M,261,3,2,5,1.724,Eliminated in Group Stage
Abdallah Nasib,Jordan,D,261,5,7,12,4.138,Eliminated in Group Stage
Tarik Muharemović,Bosnia & Herzegovina,D,260,1,8,9,3.115,Advanced to Knockout
Danley Jean Jacques,Haiti,M,260,13,3,16,5.538,Eliminated in Group Stage
Tani Oluwaseyi,Canada,F,260,5,0,5,1.731,Advanced to Knockout
Mehdi Taremi,Iran,F,260,3,2,5,1.731,Eliminated in Group Stage
Thalente Mbatha,South Africa,M,259,6,5,11,3.822,Advanced to Knockout
Noah Sadiki,DR Congo,M,258,9,2,11,3.837,Advanced to Knockout
Rustam Ashurmatov,Uzbekistan,D,257,2,7,9,3.152,Eliminated in Group Stage
Nizar Al-Rashdan,Jordan,M,256,8,2,10,3.516,Eliminated in Group Stage
Oswin Appollis,South Africa,M,255,5,1,6,2.118,Advanced to Knockout
Juninho Bacuna,Curaçao,M,255,6,5,11,3.882,Eliminated in Group Stage
Theo Hernández,France,D,255,2,3,5,1.765,Advanced to Knockout
Alan Franco,Ecuador,M,254,8,4,12,4.252,Advanced to Knockout
Djibril Sow,Switzerland,M,254,1,2,3,1.063,Advanced to Knockout
Crysencio Summerville,Netherlands,M,253,4,2,6,2.134,Advanced to Knockout
Nicolás González,Argentina,M,253,5,1,6,2.134,Advanced to Knockout
Amine Gouiri,Algeria,F,253,1,0,1,0.356,Advanced to Knockout
Maximiliano Araújo,Uruguay,D,252,2,0,2,0.714,Eliminated in Group Stage
Yan Valery,Tunisia,D,252,3,4,7,2.500,Eliminated in Group Stage
Andreas Schjelderup,Norway,M,251,8,5,13,4.661,Advanced to Knockout
Young-woo Seol,South Korea,D,251,2,1,3,1.076,Eliminated in Group Stage
Ellyes Skhiri,Tunisia,M,251,3,2,5,1.793,Eliminated in Group Stage
