# Nafis - Task 4: Age and Physical Workload (FIFA World Cup 2026, HIT140 group project)
# Source: Sofascore (api.sofascore.com), FIFA World Cup 2026 tournament id 16 / season id 58210. Population = all outfield players (excludes goalkeepers) with >=180 total minutes played across the tournament AND at least one match with tracked physical data (n=482; 2 players with >=180 min were dropped for missing date-of-birth data in the source: Lionel Messi, Kevin Pina). distance_km_per90 = total km covered across tracked matches / (total minutes played / 90). Age computed as of tournament start (2026-06-11).
player,team,position,age,minutes_played,distance_km_per90,age_group
Lewis Ferguson,Scotland,M,26,270,11.717,25 and older
Arda Güler,Türkiye,M,21,270,10.770,Under 25
Ramin Rezaeian,Iran,D,36,270,10.683,25 and older
Kang-in Lee,South Korea,M,25,270,9.433,25 and older
Kaishu Sano,Japan,M,25,270,10.677,25 and older
Jerome Opoku,Ghana,D,27,270,5.730,25 and older
Gi-Hyuk Lee,South Korea,D,25,270,9.807,25 and older
Teboho Mokoena,South Africa,M,29,270,10.003,25 and older
Shoja Khalilzadeh,Iran,D,37,270,8.763,25 and older
Hannibal Mejbri,Tunisia,M,23,270,10.000,Under 25
Andrés Andrade,Panama,D,27,270,9.673,25 and older
Mathías Olivera,Uruguay,D,28,270,10.427,25 and older
Jack Hendry,Scotland,D,31,270,9.527,25 and older
Rodrigo Bentancur,Uruguay,M,28,270,10.570,25 and older
Amir Murillo,Panama,D,30,270,10.127,25 and older
Emmanuel Agbadou,Côte d'Ivoire,D,28,270,8.817,25 and older
Ladislav Krejčí,Czechia,D,27,270,9.987,25 and older
Thomas Partey,Ghana,M,32,270,10.123,25 and older
Finn Surman,New Zealand,D,22,270,9.353,Under 25
Ali Nemati,Iran,D,30,270,9.697,25 and older
Han-Beom Lee,South Korea,D,23,270,10.040,Under 25
Issa Laye,Qatar,D,28,270,9.087,25 and older
Pedro Miguel,Qatar,D,35,270,8.553,25 and older
Vladimír Coufal,Czechia,D,33,270,10.590,25 and older
Noor Al-Rawabdeh,Jordan,M,29,270,11.903,25 and older
Leandro Bacuna,Curaçao,M,34,270,9.580,25 and older
José Córdoba,Panama,D,25,270,9.507,25 and older
Ricardo Adé,Haiti,D,36,270,9.297,25 and older
Sherel Constancio Floranus,Curaçao,D,27,270,9.490,25 and older
Marin Pongračić,Croatia,D,28,270,8.860,25 and older
Chris Wood,New Zealand,F,34,270,9.683,25 and older
Sebastián Cáceres,Uruguay,D,26,270,9.317,25 and older
Scott McTominay,Scotland,M,29,270,11.777,25 and older
Boualem Khoukhi,Qatar,D,35,270,8.213,25 and older
Guillermo Varela,Uruguay,D,33,270,10.157,25 and older
Amar Dedić,Bosnia & Herzegovina,D,23,270,10.177,Under 25
Armando Obispo,Curaçao,D,27,270,8.433,25 and older
Merchas Doski,Iraq,D,26,270,9.740,25 and older
Hannes Delcroix,Haiti,D,27,270,9.730,25 and older
Robin Hranáč,Czechia,D,26,270,9.177,25 and older
Montassar Talbi,Tunisia,D,28,270,5.977,25 and older
Martin Expérience,Haiti,D,27,270,10.813,25 and older
Akam Hashem,Iraq,D,27,270,5.903,25 and older
Abdukodir Khusanov,Uzbekistan,D,22,270,9.097,Under 25
Yazan Al-Arab,Jordan,D,30,270,8.750,25 and older
Marko Stamenić,New Zealand,M,24,269,10.435,Under 25
Ghislain Konan,Côte d'Ivoire,D,30,269,9.351,25 and older
Eldor Shomurodov,Uzbekistan,F,30,269,9.482,25 and older
Saud Abdulhamid,Saudi Arabia,M,26,269,9.586,25 and older
Ali Abdi,Tunisia,D,32,269,9.522,25 and older
Ibrahim Sangaré,Côte d'Ivoire,M,28,268,10.555,25 and older
Luis Romo,Mexico,D,30,268,10.380,25 and older
Ali Olwan,Jordan,F,26,268,10.551,25 and older
Ahmed Fatouh,Egypt,D,28,268,9.927,25 and older
Carlos Harvey,Panama,M,26,268,10.918,25 and older
Abdülkerim Bardakcı,Türkiye,D,31,266,9.342,25 and older
Romano Schmid,Austria,M,26,266,10.083,25 and older
Micky van de Ven,Netherlands,D,25,266,8.848,25 and older
